"","date","new_cases"
"1",2021-06-02,1
"2",2021-06-03,0
"3",2021-06-04,1
"4",2021-06-05,1
"5",2021-06-06,0
"6",2021-06-07,0
"7",2021-06-08,2
"8",2021-06-09,2
"9",2021-06-10,0
"10",2021-06-11,0
"11",2021-06-12,0
"12",2021-06-13,0
"13",2021-06-14,0
"14",2021-06-15,0
"15",2021-06-16,0
"16",2021-06-17,1
"17",2021-06-18,2
"18",2021-06-19,0
"19",2021-06-20,2
"20",2021-06-21,0
"21",2021-06-22,0
"22",2021-06-23,0
"23",2021-06-24,0
"24",2021-06-25,0
"25",2021-06-26,0
"26",2021-06-27,0
"27",2021-06-28,0
"28",2021-06-29,0
"29",2021-06-30,1
"30",2021-07-01,2
"31",2021-07-02,0
"32",2021-07-03,0
"33",2021-07-04,0
"34",2021-07-05,0
"35",2021-07-06,0
"36",2021-07-07,0
"37",2021-07-08,0
"38",2021-07-09,0
"39",2021-07-10,0
"40",2021-07-11,0
"41",2021-07-12,0
"42",2021-07-13,0
"43",2021-07-14,0
"44",2021-07-15,28
"45",2021-07-16,92
"46",2021-07-17,131
"47",2021-07-18,0
"48",2021-07-19,0
"49",2021-07-20,-2
"50",2021-07-21,1
"51",2021-07-22,3
"52",2021-07-23,2
"53",2021-07-24,4
"54",2021-07-25,1
"55",2021-07-26,0
"56",2021-07-27,0
"57",2021-07-28,1
"58",2021-07-29,4
"59",2021-07-30,1
"60",2021-07-31,0
"61",2021-08-01,1
"62",2021-08-02,1
"63",2021-08-03,8
"64",2021-08-04,2
"65",2021-08-05,3
"66",2021-08-06,0
"67",2021-08-07,1
"68",2021-08-08,1
"69",2021-08-09,5
"70",2021-08-10,1
"71",2021-08-11,4
"72",2021-08-12,6
"73",2021-08-13,3
"74",2021-08-14,0
"75",2021-08-15,0
"76",2021-08-16,0
"77",2021-08-17,2
"78",2021-08-18,4
"79",2021-08-19,3
"80",2021-08-20,2
"81",2021-08-21,2
"82",2021-08-22,0
"83",2021-08-23,2
"84",2021-08-24,1
"85",2021-08-25,8
"86",2021-08-26,8
"87",2021-08-27,5
"88",2021-08-28,3
"89",2021-08-29,0
"90",2021-08-30,2
"91",2021-08-31,6
"92",2021-09-01,7
"93",2021-09-02,13
"94",2021-09-03,8
"95",2021-09-04,1
"96",2021-09-05,4
"97",2021-09-06,3
"98",2021-09-07,4
"99",2021-09-08,26
"100",2021-09-09,8
"101",2021-09-10,7
"102",2021-09-11,5
"103",2021-09-12,3
"104",2021-09-13,0
"105",2021-09-14,5
"106",2021-09-15,4
"107",2021-09-16,2
"108",2021-09-17,1
"109",2021-09-18,2
"110",2021-09-19,3
"111",2021-09-20,0
"112",2021-09-21,8
"113",2021-09-22,2
"114",2021-09-23,4
"115",2021-09-24,7
"116",2021-09-25,3
"117",2021-09-26,0
"118",2021-09-27,0
"119",2021-09-28,7
"120",2021-09-29,2
"121",2021-09-30,4
"122",2021-10-01,6
"123",2021-10-02,3
"124",2021-10-03,5
"125",2021-10-04,0
"126",2021-10-05,17
"127",2021-10-06,10
"128",2021-10-07,7
"129",2021-10-08,3
"130",2021-10-09,3
"131",2021-10-10,2
"132",2021-10-11,0
"133",2021-10-12,3
"134",2021-10-13,5
"135",2021-10-14,6
"136",2021-10-15,5
"137",2021-10-16,2
"138",2021-10-17,2
"139",2021-10-18,0
"140",2021-10-19,3
"141",2021-10-20,1
"142",2021-10-21,4
"143",2021-10-22,3
"144",2021-10-23,1
"145",2021-10-24,1
"146",2021-10-25,1
"147",2021-10-26,2
"148",2021-10-27,2
"149",2021-10-28,1
"150",2021-10-29,1
"151",2021-10-30,3
"152",2021-10-31,2
"153",2021-11-01,2
"154",2021-11-02,2
"155",2021-11-03,5
"156",2021-11-04,9
"157",2021-11-05,3
"158",2021-11-06,7
"159",2021-11-07,9
"160",2021-11-08,3
"161",2021-11-09,15
"162",2021-11-10,15
"163",2021-11-11,13
"164",2021-11-12,8
"165",2021-11-13,16
"166",2021-11-14,0
"167",2021-11-15,3
"168",2021-11-16,9
"169",2021-11-17,7
"170",2021-11-18,11
"171",2021-11-19,17
"172",2021-11-20,18
"173",2021-11-21,-1
"174",2021-11-22,14
"175",2021-11-23,20
"176",2021-11-24,11
"177",2021-11-25,12
"178",2021-11-26,3
"179",2021-11-27,6
"180",2021-11-28,2
"181",2021-11-29,1
"182",2021-11-30,14
